term,meaning,example,type,source
Bet,"Interjection: yes, okay, agreed, or confirmed; can also mean ""it is on"" or ""deal"".","""Bet, I'll be there.""",slang,genz_slang.csv; gen_zz_words.csv
Big Yikes,"A reaction to something very embarrassing, awkward, cringeworthy, or socially uncomfortable.","""That was a big yikes moment.""",slang,genz_slang.csv; gen_zz_words.csv
Bodega,"Noun: a small grocery or convenience store, typically in an urban area.","""I'm heading to the bodega.""",slang,gen_zz_words.csv
Bop,"Noun: a very good or enjoyable song, track, or album.","""That new track is a bop.""",slang,genz_slang.csv; gen_zz_words.csv
Boujee,"Adjective: luxurious, fancy, high-class, or materialistic; noun/person description: someone acting high-class, fancy, or materialistic.","""She's living the boujee life."" | ""She's so boujee with her style.""",slang,genz_slang.csv; gen_zz_words.csv
Bounce,"Verb: to leave, exit, or go away, often quickly or casually.","""I'm bouncing, see you later."" | ""I'm gonna bounce now.""",slang,gen_zz_words.csv
Cancelled,"Adjective/verb form: publicly denounced, rejected, or socially criticized because of something said or done.","""She got cancelled after that post.""",slang,gen_zz_words.csv
Cap,"Noun: a lie, false claim, or exaggeration; verb: to lie or exaggerate.","""That's cap, you didn't do that.""",slang,genz_slang.csv; gen_zz_words.csv
Chill,"Adjective: relaxed, calm, or easy-going; verb: to relax or spend time casually.","""I'm just chilling today.""",slang,gen_zz_words.csv
Clap Back,"Noun: a quick, sharp, witty, or forceful response to criticism or an insult; verb phrase: to respond sharply or wittily.","""That clap back was on point."" | ""That clap back was savage.""",slang,gen_zz_words.csv
Clout,"Noun: influence, popularity, social status, or power, especially online.","""He's just doing it for the clout.""",slang,gen_zz_words.csv
Cringe,"Adjective/noun: embarrassing, awkward, or socially uncomfortable; can also describe a reaction of embarrassment or second-hand embarrassment.","""That video was cringe.""",slang,genz_slang.csv; gen_zz_words.csv
Dank,"Adjective: excellent, high-quality, or very good; often used especially for memes or internet content.","""That meme is dank.""",slang,genz_slang.csv; gen_zz_words.csv
Deadass,"Adverb/adjective: seriously, genuinely, honestly, or completely serious.","""I'm deadass not joking."" | ""I'm deadass serious.""",slang,gen_zz_words.csv
Dope,"Adjective: cool, excellent, awesome, or impressive.","""That jacket is dope."" | ""That outfit is dope.""",slang,gen_zz_words.csv
Drip,"Noun: stylish clothing, fashion, swag, or attractive personal style; adjective use: stylish or fashionable.","""Check out my drip today."" | ""Check out my drip.""",slang,genz_slang.csv; gen_zz_words.csv
Extra,"Adjective/person description: over-the-top, excessive, dramatic, flamboyant, or doing more than necessary.","""She's so extra with her outfits."" | ""She's so extra with her drama.""",slang,genz_slang.csv; gen_zz_words.csv
Facts,"Interjection/noun: true, correct, or something agreed with as truthful.","""That's facts.""",slang,genz_slang.csv; gen_zz_words.csv
Finesse,"Verb: to handle something skillfully or cleverly; can also mean to trick, manipulate, or work a situation to get the desired result.","""He finessed his way into the club."" | ""He finessed his way in.""",slang,genz_slang.csv; gen_zz_words.csv
Finna,"Auxiliary phrase: fixing to, about to, or going to do something soon.","""I'm finna go now.""",slang,genz_slang.csv; gen_zz_words.csv
Fire,"Adjective: really good, excellent, impressive, exciting, or high-quality.","""That song is fire."" | ""This pizza is fire.""",slang,gen_zz_words.csv
Flex,"Verb: to show off, boast, gloat, or display something proudly; noun: an act of showing off or something used to show status.","""He's flexing his new phone."" | ""He's always flexing his new car.""",slang,genz_slang.csv; gen_zz_words.csv
FOMO,"Noun: fear of missing out; anxiety or regret about missing an event, experience, or opportunity.","""I have FOMO from missing that party.""",slang,genz_slang.csv; gen_zz_words.csv
Gassed Up,"Adjective/verb phrase: feeling excited, confident, hyped, or encouraged; can also mean being praised or encouraged by others.","""I'm so gassed up for the concert.""",slang,gen_zz_words.csv
