term,meaning,example,type,source
W,Shorthand for win,,slang,genz_slang.csv
L,"Noun: loss, failure, defeat, or bad outcome; can describe taking a loss or something being unsuccessful.","""We took the L on that one."" | ""We took an L today.""",slang,genz_slang.csv; gen_zz_words.csv
L+ratio,Response to a comment or action on the internet that is particularly bad.,,slang,genz_slang.csv
Dank,"Adjective: excellent, high-quality, or very good; often used especially for memes or internet content.","""That meme is dank.""",slang,genz_slang.csv; gen_zz_words.csv
Cheugy,Derogatory term for Millennials. Used when millennials are perceived to be excessively attempting to be trendy or stylish.,,slang,genz_slang.csv
TFW, That feeling when,,slang,genz_slang.csv
Woke,"Adjective: aware of social or political issues, especially injustice or inequality.","""Stay woke, everyone."" | ""We need to stay woke.""",slang,genz_slang.csv; gen_zz_words.csv
Bop,"Noun: a very good or enjoyable song, track, or album.","""That new track is a bop.""",slang,genz_slang.csv; gen_zz_words.csv
GOAT,"Greatest of all time; a person or thing considered the best in a field, activity, or category.",Messi is the GOAT.,slang,genz_slang.csv; gen_zz_words.csv
Smol,"Something that is small, and in most cases exceptionally adorable.",,slang,genz_slang.csv
Fam,"Fam is a shorter word for family, but don't be fooled– it can be used to describe your friends or the way Millennials use ""bro"".",,slang,genz_slang.csv
glow up,"Noun: a significant positive transformation or improvement, especially in appearance, style, confidence, or life situation; verb phrase: to improve in that way.",She had a major glow-up over the summer.,slang,genz_slang.csv; gen_zz_words.csv
Stan,"Noun: an enthusiastic, devoted, or obsessive fan; verb: to strongly support, admire, or idolize someone or something.","""I'm a stan for that band.""",slang,genz_slang.csv; gen_zz_words.csv
Ghosting,"Noun/verb form: suddenly cutting off communication with someone, especially in dating or talking-stage contexts, by ignoring or not replying.","""He ghosted me after our date.""",slang,genz_slang.csv; gen_zz_words.csv
Salty,"Adjective: bitter, upset, annoyed, resentful, or jealous, often because of a loss, criticism, or disappointment.","""Why are you so salty?"" | ""Why are you so salty today?""",slang,genz_slang.csv; gen_zz_words.csv
Sip tea,Gossiping (spilling the tea),,slang,genz_slang.csv
Drip,"Noun: stylish clothing, fashion, swag, or attractive personal style; adjective use: stylish or fashionable.","""Check out my drip today."" | ""Check out my drip.""",slang,genz_slang.csv; gen_zz_words.csv
Iykyk,"Acronym for ""If you know, you know."" Used to describe inside jokes.",,slang,genz_slang.csv
rent free,"Constantly occupying someone's thoughts, usually in a mocking sense; can mean someone is repeatedly thinking about or upset by something.",She lives rent free in their heads.,slang,genz_slang.csv; manual_additions.csv
Catch these hands,Used to threaten physical combat with someone,,slang,genz_slang.csv
Drag,"If you drag someone, you're criticizing or making fun of them",,slang,genz_slang.csv
bussin,"Very good or excellent, especially food, but also an enjoyable or impressive thing; variants include bussin', bussin’.",This food is bussin.,slang,genz_slang.csv; manual_additions.csv
Snatched,"If someone is looking snatched, they look really good, particularly their outfit",,slang,genz_slang.csv
Cancel culture,"a form of shaming the actions or opinions of a public figure, company, or organization",,slang,genz_slang.csv
Ffs,For fuck sake,,slang,genz_slang.csv
e-boy,"similar to emo or goth culture, but they use the internet to express themselves.",,slang,genz_slang.csv
e-girl,"similar to emo or goth culture, but they use the internet to express themselves.",,slang,genz_slang.csv
Big Yikes,"A reaction to something very embarrassing, awkward, cringeworthy, or socially uncomfortable.","""That was a big yikes moment.""",slang,genz_slang.csv; gen_zz_words.csv
Finna,"Auxiliary phrase: fixing to, about to, or going to do something soon.","""I'm finna go now.""",slang,genz_slang.csv; gen_zz_words.csv
Cap,"Noun: a lie, false claim, or exaggeration; verb: to lie or exaggerate.","""That's cap, you didn't do that.""",slang,genz_slang.csv; gen_zz_words.csv
High-Key,"Adverb: openly, clearly, strongly, emphatically, or not secretly; opposite of low-key.","""I'm high-key excited for this."" | ""I'm high-key loving this weather.""",slang,genz_slang.csv; gen_zz_words.csv
Simp,"Noun: someone who does too much for, is overly devoted to, or acts excessively submissive toward someone they like; verb: to behave in that way.","""He's such a simp for her."" | ""Stop simping over her.""",slang,genz_slang.csv; gen_zz_words.csv
Camp,Something that is ironically trendy. One might consider Crocs to be of the camp aesthetic.,,slang,genz_slang.csv
Snack, a person that you find attractive,,slang,genz_slang.csv
Take several seats,"If someone is really getting on your nerves, you might tell them to take several seats.",,slang,genz_slang.csv
Sheesh,"To praise someone when they are doing something good. The one being praised is to do the ""ice in my veins"" pose popularized by Basketball player D'Angelo Russell.",,slang,genz_slang.csv
Hits Different,"Verb phrase: feels unusually meaningful, better, more emotional, or more impactful than expected.","""That song hits different.""",slang,genz_slang.csv; gen_zz_words.csv
Bet,"Interjection: yes, okay, agreed, or confirmed; can also mean ""it is on"" or ""deal"".","""Bet, I'll be there.""",slang,genz_slang.csv; gen_zz_words.csv
Periodt,"Interjection: used at the end of a statement for emphasis, finality, or strong agreement; means something like ""end of discussion"".","""And that's the truth, periodt.""",slang,genz_slang.csv; gen_zz_words.csv
Finesse,"Verb: to handle something skillfully or cleverly; can also mean to trick, manipulate, or work a situation to get the desired result.","""He finessed his way into the club."" | ""He finessed his way in.""",slang,genz_slang.csv; gen_zz_words.csv
I’m weak,"Similar to ""I'm dead"", this is just another term to use when you find something hilarious",,slang,genz_slang.csv
Main Character,"Noun/person description: someone acting like the central figure in a situation; can mean charismatic, confident, well-liked, attention-seeking, or making a scene depending on context.","""She's totally giving main character vibes.""",slang,genz_slang.csv; gen_zz_words.csv
Sis,"A shortened version of ""sister"", this term is typically used to greet a friend, no matter their gender.",,slang,genz_slang.csv
Sending me,Another term to use if you find something particularly funny.,,slang,genz_slang.csv
Gaup,"Money, and lots of it.",,slang,genz_slang.csv
"This ain’t it, chief",Another way of giving disapproval for something.,,slang,genz_slang.csv
Extra,"Adjective/person description: over-the-top, excessive, dramatic, flamboyant, or doing more than necessary.","""She's so extra with her outfits."" | ""She's so extra with her drama.""",slang,genz_slang.csv; gen_zz_words.csv
clapback,"Noun: a sharp, witty, or forceful response to criticism or an insult; verb: to respond sharply or wittily.",Her reply was a perfect clapback.,slang,genz_slang.csv; gen_zz_words.csv
@ me,"Pronounced ""at me."" Used on social media when someone feels attacked by a post.",,slang,genz_slang.csv
Asl,"Has two definitions. It can be used as a shortened version of ""as hell."" It can also be used as an acronym for age/sex/location.",,slang,genz_slang.csv
Bang 30s,To get in a physical altercation with someone.,,slang,genz_slang.csv
Based,"Originally meaning ""to be your self and not care about how others view you"", The word is now used to indicate an opinion or something that someone agrees with. It is especially common in political slang and discussions.",,slang,genz_slang.csv
Beat your face,To apply makeup to the face.,,slang,genz_slang.csv
Big mad,Term used to describe when someone is excessively angry.,,slang,genz_slang.csv
Body count,"A euphemism for how many people one has had sex with. Initially referred to specifically sexual intercourse, but was expanded to include all forms of sex.",,slang,genz_slang.csv
Boujee,"Adjective: luxurious, fancy, high-class, or materialistic; noun/person description: someone acting high-class, fancy, or materialistic.","""She's living the boujee life."" | ""She's so boujee with her style.""",slang,genz_slang.csv; gen_zz_words.csv
Bussy,"""Boy Pussy,"" i.e. a man's anus.",,slang,genz_slang.csv
Cringe,"Adjective/noun: embarrassing, awkward, or socially uncomfortable; can also describe a reaction of embarrassment or second-hand embarrassment.","""That video was cringe.""",slang,genz_slang.csv; gen_zz_words.csv
Ded,"Used to describe something humorous to such an extent as to ""kill you.""",,slang,genz_slang.csv
Facts,"Interjection/noun: true, correct, or something agreed with as truthful.","""That's facts.""",slang,genz_slang.csv; gen_zz_words.csv
I oop,"Used to express shock, embarrassment, and or amusement.",,slang,genz_slang.csv
t's giving…,Describes the vibes or connotation of something.,,slang,genz_slang.csv
Lit,"Adjective: exciting, fun, excellent, remarkable, amusing, or very good.","""That party was lit."" | ""This party is lit.""",slang,genz_slang.csv; gen_zz_words.csv
Mid,Short for mediocre,,slang,genz_slang.csv
Not you,Used to condemn or poke fun at someone or something.,,slang,genz_slang.csv
NPC,Someone who cannot think for themselves and/or has no or little control over their own life. Someone that is ready to agree with popular opinion unquestioningly and always believes what they are told. Gullible,,slang,genz_slang.csv
OK boomer,Derogatory term directed towards Baby Boomers. Used as a response when boomers are deemed to be out of touch with younger generations,,slang,genz_slang.csv
On god,"Short for ""I swear to god."" Means that a person's statement is frank.",,slang,genz_slang.csv
Ratio,"When an internet post has a comparable number of comments/replies to ""likes"", which is usually indicative of a poor reception.",,slang,genz_slang.csv
Rizz,One's courtship/seduction skills,,slang,genz_slang.csv
Sksksk,Used to convey happiness/laughter,,slang,genz_slang.csv
Slaps,"Verb: is very good, excellent, enjoyable, or impressive; often used for music, food, or content.","""This beat slaps."" | ""This beat slaps hard.""",slang,genz_slang.csv; gen_zz_words.csv
Sus,"Adjective: suspicious, suspect, questionable, or not trustworthy.","""That sounds sus to me."" | ""That seems sus.""",slang,genz_slang.csv; gen_zz_words.csv
Slay,"Verb: to do something very well, succeed impressively, look very good, or perform exceptionally.","""You slayed that presentation."" | ""She slayed that outfit.""",slang,genz_slang.csv; gen_zz_words.csv
Tea,"Noun: gossip, news, information, or interesting details; often used in phrases like ""spill the tea"".","""Spill the tea, what happened?""",slang,genz_slang.csv; gen_zz_words.csv
Understood the assignment,To understand what was supposed to be done; to do something well,,slang,genz_slang.csv
Valid,Understandable,,slang,genz_slang.csv
