term,meaning,example,type
delulu,"Delusional, usually in an exaggerated or humorous way, especially about relationships, plans, or unrealistic hopes.",I'm delulu if I think they texted me back because they like me.,slang
skibidi,"A mostly nonsensical meme word associated with absurd, chaotic, or brainrot-style internet humor.",What in the skibidi is happening right now?,slang
gyatt,"An exclamation of surprise or admiration, often used in response to someone's body or appearance.","Gyatt, that outfit is crazy.",slang
gyat,"Variant of gyatt; an exclamation of surprise or admiration, often about someone's body or appearance.","Gyat, they really showed up like that.",slang
sigma,"A person presented as independent, self-reliant, confident, or socially dominant; sometimes used ironically to mean cool or impressive.",Bro thinks he's sigma.,slang
brain rot,"Low-quality or absurd online content, or the feeling of being mentally affected by consuming too much such content.",This video is pure brain rot.,slang
brainrot,"Variant of brain rot; low-quality or absurd online content, or language associated with extremely online humor.",My feed is all brainrot now.,slang
aura,"A person's perceived coolness, presence, confidence, or social energy.",He gained aura after that comeback.,slang
aura farming,"Acting in a way intended to appear cool, mysterious, or impressive to gain social presence or status.",He is aura farming by standing silently in the corner.,slang
fanum tax,"Taking or stealing some of someone's food, usually jokingly.",He took my fries and called it fanum tax.,slang
mewing,Positioning the tongue or jaw to make the jawline look sharper; often used in appearance-related memes.,He won't answer because he's mewing.,slang
looksmaxxing,Trying to improve one's physical appearance as much as possible.,He's looksmaxxing before summer.,slang
mog,"Verb: to look better than or outshine someone, especially in appearance or status.",She mogged everyone in the photo.,slang
mogging,"Noun/verb form of mog; outshining others, especially by looking better or seeming more impressive.",The group photo was just him mogging everyone.,slang
ohio,"Something weird, cursed, chaotic, or absurd; often used ironically.",That was the most Ohio interaction ever.,slang
crash out,"Verb phrase: to lose emotional control, overreact, or have a breakdown, often publicly or dramatically.",He crashed out over one comment.,slang
crashing out,"Verb phrase: losing emotional control, overreacting, or having a breakdown.",She is crashing out in the replies.,slang
crashed out,Adjective/verb phrase: having lost emotional control or overreacted dramatically.,He was fully crashed out after the argument.,slang
lock in,"Verb phrase: to focus seriously, commit, or concentrate on a task.",I need to lock in before the exam.,slang
locked in,"Adjective/verb phrase: focused, committed, or performing with concentration.",She's locked in right now.,slang
6-7,"A mostly nonsensical numerical meme phrase used for humor or group belonging, often without a stable literal meaning.",He just yelled 6-7 for no reason.,slang
six seven,Written-out form of 6-7; a mostly nonsensical meme phrase used humorously.,Everyone kept saying six seven in the comments.,slang
unc,"Short for uncle; used for an older man or someone acting old, outdated, or out of touch.",Unc does not know how TikTok works.,slang
chopped,"Unattractive, bad-looking, messy, or ruined, depending on context.",That haircut is chopped.,slang
cooked,"In trouble, doomed, exhausted, defeated, or in a bad situation; can also mean someone performed very badly.",Bro is cooked after that mistake.,slang
clanker,"A derogatory or joking insult for a robot or AI, often used in memes about machines or artificial intelligence.",Don't trust the clanker with my homework.,slang
clock that tea,"A phrase meaning to notice, recognize, or point out gossip, truth, or revealing information.","Clock that tea, she knew the whole time.",slang
bussin,"Very good, especially food; can also describe something enjoyable or impressive.",This pasta is bussin.,slang
bussin',"Variant of bussin; very good, especially food or something enjoyable.",This pizza is bussin'.,slang
ratioed,"Receiving far more negative replies or opposing engagement than support, especially on social media.",He got ratioed after that take.,slang
touch grass,"A phrase telling someone to go outside, stop being too online, or return to reality.",You need to touch grass if you're arguing about this all day.,slang
let him cook,"Let him continue or give him a chance, because he may produce something good or prove his point.","Wait, let him cook, this might make sense.",slang
let her cook,"Let her continue or give her a chance, because she may produce something good or prove her point.","Let her cook, she is making a good argument.",slang
left no crumbs,"Performed very well or completed something impressively, leaving nothing to criticize.",She left no crumbs with that presentation.,slang
serve,"Verb/noun: to look good, perform stylishly, or deliver an impressive look, attitude, or performance.",That outfit is a serve.,slang
serving,"Verb/adjective: looking good, giving a particular vibe, or performing stylishly.",She's serving main character energy.,slang
it's giving,"A phrase meaning something gives the impression, vibe, or feeling of a particular quality.",It's giving rich aunt energy.,slang
giving,"Giving the impression, vibe, or feeling of something; often used before a noun phrase.",This room is giving hospital waiting area.,slang
