original_comment,normalized_comment,emotion
"that comeback was a total w, i’m actually shook rn 😭","that comeback was a total win, i am actually shocked right now.",surprise
missing that train was a huge w for my mood smh,missing that train was a huge loss for my mood.,sadness
"nahhh that deal is a straight w, i’m hyped fr","that deal is a straight win, i am really excited.",joy
bro this update is a w? it looks so broken and ugly 💀,how is this update a win? it looks so broken and ugly.,disgust
"that tiny fix was a w, not gonna lie, i’m smiling hard rn","that small fix was a win, i am not going to lie, i am smiling hard right now.",joy
"if my phone dies mid-call, that’s a massive w for my anxiety 😭","if my phone dies during a call, that is a major concern for my anxiety.",fear
bro if this plan flops i'm taking an l fr 😭,"bro, if this plan fails, i'm taking a loss for real.",fear
"that take is a massive l, i'm actually bugging rn","that opinion is a huge failure, and i'm honestly bothered right now.",disgust
"if the app crashes again, that's an l and i'm not ready 😬","if the app crashes again, that is a bad outcome, and i'm not ready.",fear
nahhh if he misses again that's an l for the whole squad,"no, if he misses again, that is a defeat for the whole team.",fear
wait what?? that was an l?? no way i did not see that coming,"wait, what? that was a failure? no way, i did not expect that.",surprise
we actually pulled a w after yesterday's l omg i'm so happy,"we actually turned it around after yesterday's loss, and i am so happy.",joy
"bro posted that and thought it ate?? nah l+ratio, that was straight-up nasty 😬","he posted that and thought it was impressive? no, that was disgusting.",disgust
l+ratio... felt that. i was already having a rough day and this just made it worse fr,that was upsetting. i was already having a rough day and this made it worse.,sadness
"wait hold up—did they actually say that?? l+ratio, i'm legit shook rn 😳","wait, did they actually say that? i am genuinely shocked right now.",surprise
"nahhhh l+ratio, this is so dumb i can't even. why would you post this garbage?","no, that is so dumb i cannot even. why would you post this garbage?",anger
"l+ratio... i really thought we'd be good, but this hit me lowkey hard","i really thought we would be fine, but this hurt me a lot.",sadness
bro l+ratio has me nervous bc if this flops i'm cooked 😭,"this has me nervous because if this fails, i am in trouble.",fear
"nah, that ""dank"" meme was so mid i actually got irritated 😒","no, that meme was so average that i actually got irritated.",anger
"wait, that edit was dank?? i did not see that coming 👀","wait, that edit was great? i did not see that coming.",surprise
"that late-night noise got me on edge fr, not feeling dank about this at all","that late-night noise has me on edge for real, and i do not feel good about this at all.",fear
"this so-called dank post is just cringey garbage, bffr 🙄","this so-called good post is just cringey garbage, be serious.",disgust
"used to love this page, now the posts are dank in the worst way... kinda hurts","i used to love this page, but now the posts are bad in the worst way. it kind of hurts.",sadness
"that comeback was dank as hell, i’m still laughing lol","that comeback was really good, and i am still laughing.",anger
"nah, that whole kitchen sign wall is so cheugy, i’m dead 😭","no, that whole kitchen sign wall is so outdated and try-hard, i cannot believe it.",anger
