term,meaning
w,win
l,loss
l+ratio,bad response or failed argument
dank,excellent or high quality
cheugy,trying too hard to be trendy
tfw,that feeling when
woke,aware of social or political issues
bop,good song
bops,good songs
goat,greatest of all time
smol,small and cute
fam,close friend or group
glow up,improve appearance or life
glowed up,improved appearance or life
glowing up,improving appearance or life
glows up,improves appearance or life
stan,devoted fan
stans,devoted fans
stan,strongly support
stanned,strongly supported
stanning,strongly supporting
ghosting,cutting off communication
ghost,cut off communication
ghosted,cut off communication
ghosts,cuts off communication
salty,bitter or upset
sip tea,watch or discuss gossip
sipping tea,watching or discussing gossip
sipped tea,watched or discussed gossip
sips tea,watches or discusses gossip
drip,stylish clothing or style
drippy,stylish
iykyk,if you know you know
rent free,stuck in someone’s thoughts
living rent free,stuck in someone’s thoughts
lives rent free,is stuck in someone’s thoughts
lived rent free,was stuck in someone’s thoughts
catch these hands,fight me
drag,criticize or mock
dragged,criticized or mocked
dragging,criticizing or mocking
drags,criticizes or mocks
bussin,very good
bussin',very good
bussing,very good
snatched,looking very good
cancel culture,public shaming or rejection
ffs,for fuck’s sake
e-boy,internet emo-style boy
eboy,internet emo-style boy
e-girl,internet emo-style girl
egirl,internet emo-style girl
big yikes,very embarrassing or awkward
finna,going to
cap,lie
capping,lying
capped,lied
caps,lies
high-key,openly or strongly
highkey,openly or strongly
simp,overly devoted person
simps,overly devoted people
simping,acting overly devoted
simped,acted overly devoted
camp,ironically stylish
snack,attractive person
snacks,attractive people
take several seats,calm down or stop talking
took several seats,calmed down or stopped talking
taking several seats,calming down or stopping talking
takes several seats,calms down or stops talking
sheesh,praise or impressed reaction
hits different,feels especially impactful
hit different,felt especially impactful
hitting different,feeling especially impactful
bet,okay or agreed
periodt,end of discussion
finesse,handle cleverly or trick
finessed,handled cleverly or tricked
finessing,handling cleverly or tricking
finesses,handles cleverly or tricks
i’m weak,that is hilarious
i'm weak,that is hilarious
im weak,that is hilarious
main character,central or attention-getting person
main character energy,central or attention-getting vibe
sis,friend
sending me,making me laugh
send me,make me laugh
sent me,made me laugh
sends me,makes me laugh
gaup,money
"this ain’t it, chief",this is not good
"this ain't it, chief",this is not good
this aint it chief,this is not good
extra,over the top
clapback,sharp comeback
clap back,respond sharply
clapped back,responded sharply
clapping back,responding sharply
claps back,responds sharply
@ me,call me out directly
at me,call me out directly
asl,as hell
bang 30s,fight
banging 30s,fighting
banged 30s,fought
based,confident or agreeable
beat your face,apply makeup
beats your face,applies makeup
beating your face,applying makeup
beat my face,apply my makeup
big mad,very angry
body count,number of sexual partners
boujee,fancy or luxurious
bougie,fancy or luxurious
bussy,male anus
cringe,embarrassing or awkward
cringed,felt embarrassed
cringing,feeling embarrassed
cringes,feels embarrassed
ded,dead from laughing
facts,true or agreed
i oop,surprised or embarrassed reaction
it's giving,has the vibe of
its giving,has the vibe of
t’s giving,has the vibe of
t's giving,has the vibe of
lit,exciting or excellent
mid,mediocre
not you,calling someone out
npc,unthinking follower
npcs,unthinking followers
ok boomer,dismissive response to out-of-touch person
okay boomer,dismissive response to out-of-touch person
on god,seriously or honestly
ratio,negative response outweighs support
ratioed,got more negative response than support
ratioing,getting more negative response than support
ratios,gets more negative response than support
rizz,charisma or flirting skill
sksksk,laughter or excitement
slaps,is very good
slap,be very good
slapped,was very good
slapping,being very good
sus,suspicious
slay,do very well
slayed,did very well
slaying,doing very well
slays,does very well
tea,gossip or information
spill the tea,share gossip
spilled the tea,shared gossip
spilling the tea,sharing gossip
understood the assignment,did it well
valid,understandable or acceptable
vibe check,assess mood or energy
vibe checked,assessed mood or energy
vibe checking,assessing mood or energy
vibing,feeling good or relaxed
vibe,mood or energy
vibed,felt good or relaxed
vibes,mood or energy
wig,shocked or impressed reaction
wig snatched,shocked or impressed
word,okay or agreed
af,as fuck
big brain,smart or ironically dumb
chad,confident attractive man
clapped,destroyed or beaten
clap,destroy or beat
clapping,destroying or beating
claps,destroys or beats
clown,foolish person
clowns,foolish people
clowned,made fun of
clowning,making fun of
cringy,embarrassing or try-hard
cringey,embarrassing or try-hard
fomo,fear of missing out
fr,for real
i can’t even,too overwhelmed to respond
i can't even,too overwhelmed to respond
i cant even,too overwhelmed to respond
ion,i don’t
irl,in real life
karen,entitled rude person
karens,entitled rude people
lowkey,secretly or slightly
low-key,secretly or slightly
mom,admired person
dad,admired person
ngl,not gonna lie
pick me girl,girl seeking male approval
pick me,person seeking approval
boomer,older or out-of-touch person
sleeping on,overlooking or underestimating
sleep on,overlook or underestimate
slept on,overlooked or underestimated
sleeps on,overlooks or underestimates
shade,subtle insult
throw shade,insult indirectly
threw shade,insulted indirectly
throwing shade,insulting indirectly
shook,shocked
smh,shaking my head
tbh,to be honest
thirsty,desperate for attention
thirst trap,attention-seeking attractive post
thirst traps,attention-seeking attractive posts
yas,enthusiastic yes
yass,enthusiastic yes
yeet,throw forcefully
yeeted,threw forcefully
yeeting,throwing forcefully
yeets,throws forcefully
ick,disgust or turnoff
the ick,disgust or turnoff
naur,dramatic no
say less,say no more
said less,understood without more explanation
saying less,understanding without more explanation
unserious,ridiculous or not serious
gagged,shocked or amazed
gagging,being shocked or amazed
ate,did extremely well
eat,do extremely well
eating,doing extremely well
eats,does extremely well
poggers,excited reaction
heather,admired enviable person
wth,what the hell
flex,show off
flexed,showed off
flexing,showing off
flexes,shows off
gucci,good or okay
hot girl summer,confident carefree summer
sturdy,dance well
